objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,mCr4_u,mCr4_g,mCr4_r,mCr4_i,mCr4_z,mCr4PSF_u,mCr4PSF_g,mCr4PSF_r,mCr4PSF_i,mCr4PSF_z,petroR50_u,petroR50_g,petroR50_r,petroR50_i,petroR50_z,petroR90_u,petroR90_g,petroR90_r,petroR90_i,petroR90_z,type,specobjid,class,subClass,redshift,plate,mjd,fiberid,sourceType,nvote,p_el,p_cw,p_acw,p_edge,p_dk,p_mg
1.23767E+18,240.2697474,-0.537370355,19.45825,17.53825,16.51325,15.96933,15.5556,5377,301,3,13,2.117042,2.34159,2.366528,2.402934,2.508424,2.104053,2.115148,2.110943,2.119539,2.123559,1.94304,2.775325,2.78702,2.782266,2.459041,2.998173,6.499806,6.637818,6.896406,5.974082,3,3.86194E+17,GALAXY,STARFORMING,0.05288776,343,51692,39,GALAXY,29,0.344999999,0.207000002,0.068999998,0.379000008,0,0
1.23767E+18,240.1696864,-0.525527442,19.72345,17.76656,16.86872,16.42261,16.05081,5377,301,3,12,2.206269,2.234392,2.211486,2.243899,2.242621,2.104987,2.109798,2.111113,2.121106,2.120282,1.663502,1.379388,1.441493,1.455031,1.32616,3.888865,3.789895,3.901281,4.005081,3.791139,3,3.86201E+17,GALAXY,,0.05525456,343,51692,64,GALAXY,27,0.740999997,0,0.111000001,0.148000002,0,0
1.23767E+18,240.1409417,-0.609282942,20.66525,18.4109,17.17205,16.63202,16.15715,5396,301,2,18,2.06076,2.353563,2.374126,2.377373,2.391215,2.109846,2.099783,2.116175,2.131505,2.111293,3.612135,2.177456,2.332905,2.331629,2.148492,8.189715,7.249693,7.503153,7.582147,6.957139,3,3.86202E+17,GALAXY,,0.1348206,343,51692,66,GALAXY,26,0.846000016,0,0,0.037999999,0.115000002,0
1.23767E+18,240.0820722,-0.616507507,19.44938,18.12794,17.51661,17.11226,16.8995,5396,301,2,18,2.307057,2.174687,2.206802,2.218442,2.245439,2.111877,2.102583,2.118541,2.137791,2.114501,2.63576,2.553069,2.422131,2.355903,2.183436,8.108184,5.851433,5.449065,5.407656,4.817133,3,3.86203E+17,GALAXY,STARFORMING,0.05591502,343,51692,69,GALAXY,56,0.411000013,0,0.035999998,0.463999987,0.089000002,0
1.23767E+18,240.0509472,-0.546384533,20.9958,18.62249,17.45883,16.95243,16.52285,5396,301,2,17,2.213692,2.275426,2.308777,2.328175,2.329163,2.097879,2.098801,2.121698,2.146744,2.110409,4.384651,1.524232,1.55532,1.506393,1.519287,6.642974,4.849907,4.836177,4.641307,4.497823,3,3.86203E+17,GALAXY,,0.1208041,343,51692,70,GALAXY,26,0.768999994,0,0,0.077,0.077,0.077
1.23767E+18,240.1113139,-0.175747496,20.63455,18.61274,17.53843,17.05125,16.66944,5396,301,3,16,2.101031,2.453804,2.408114,2.413169,2.399697,2.111025,2.100211,2.122406,2.12228,2.140069,2.618665,2.135318,1.955864,1.94096,1.832074,7.609773,5.44877,5.139149,5.081541,5.21614,3,3.86204E+17,GALAXY,,0.127725,343,51692,73,GALAXY,19,0.684000015,0.158000007,0,0,0.158000007,0
1.23767E+18,240.1369551,-0.166264027,17.19438,15.76165,15.21223,14.9319,14.7928,5396,301,3,16,2.21992,2.386811,2.479932,2.539178,2.524242,2.109841,2.091801,2.116896,2.125625,2.137971,8.402626,10.76028,10.30167,9.366282,6.823291,14.42376,20.44305,21.06699,18.29358,12.65656,3,3.86205E+17,GALAXY,,0.02422201,343,51692,77,GALAXY,22,0.045000002,0.045000002,0.864000022,0,0.045000002,0
1.23765E+18,8.596109648,14.92627679,21.10878,19.15689,17.98065,17.49848,17.08756,1904,301,3,206,1.90758,2.226786,2.243348,2.223385,2.217498,2.033468,2.030593,2.028982,2.025614,2.042855,3.893943,3.673146,3.085376,3.137444,2.565775,7.622108,12.47395,12.39335,12.48864,12.6914,3,4.69522E+17,GALAXY,,0.1385729,417,51821,80,GALAXY,22,0.681999981,0,0,0.045000002,0.136000007,0.136000007
1.23765E+18,8.333062867,14.87191347,22.25895,19.79551,18.18699,17.58245,17.15362,1904,301,3,204,0,2.265403,2.275704,2.290964,2.232291,2.0384,2.030762,2.031233,2.03021,2.035769,3.357714,1.462183,1.281953,1.276588,1.236212,5.275627,3.908094,3.548318,3.634245,3.353325,3,4.69533E+17,GALAXY,,0.2299727,417,51821,120,GALAXY,44,0.795000017,0,0.023,0.090999998,0.090999998,0
1.23765E+18,7.563518388,14.82441935,25.92964,20.77576,18.98186,18.21538,17.81979,1904,301,3,199,-9999,2.485769,2.512219,2.371014,2.445583,2.037278,2.019777,2.01189,2.060286,2.027615,-9999,1.695431,1.934995,1.823231,2.045037,-9999,4.404079,5.089382,5.383746,5.415422,3,4.69564E+17,GALAXY,,0.3958823,417,51821,233,GALAXY,64,0.561999977,0.016000001,0,0.030999999,0.312000006,0.078000002
1.23765E+18,7.059019491,14.51798311,24.42752,21.74143,19.80491,18.9114,18.38264,1904,301,2,196,1.489311,1.808162,2.276876,2.316742,2.301453,2.037593,2.047635,2.043861,2.099935,2.031135,1.84125,2.635223,1.32178,1.377285,1.201296,6.436689,5.937954,3.827147,3.992723,4.052516,3,4.69583E+17,GALAXY,,0.4211052,417,51821,301,GALAXY,20,0.649999976,0,0,0,0.300000012,0.050000001
